TP9,AF7,AF8,TP10,Right AUX,wordClass
35.156,28.809,30.273,27.344,22.949,59
21.484,26.367,28.809,18.066,72.754,59
12.207,26.855,27.344,4.395,30.273,59
20.508,27.832,26.855,13.184,-9.277,59
37.109,30.762,30.762,37.109,81.543,59
35.645,31.738,29.297,38.574,88.379,59
26.367,32.715,29.297,17.09,4.395,59
25.879,30.762,26.855,4.883,-29.297,59
36.621,30.273,25.879,15.137,-7.324,59
42.969,31.25,25.879,25.391,13.184,59
32.715,34.18,24.902,4.883,11.23,59
25.391,35.156,25.879,-4.395,0.977,59
35.156,32.227,26.855,16.113,26.855,59
44.434,31.738,30.762,41.016,19.531,59
32.227,36.621,36.621,31.738,37.598,59
23.926,37.109,30.762,10.742,81.543,59
25.391,34.18,21.973,14.16,-12.695,59
35.156,33.691,23.926,32.227,25.879,59
33.691,37.109,25.879,30.762,75.195,59
19.531,35.645,24.902,12.207,32.715,59
18.066,27.832,26.855,6.348,73.73,59
27.344,31.25,28.320,29.785,68.359,59
30.762,36.133,29.785,40.039,14.16,59
27.832,33.691,29.785,16.113,43.457,59
20.996,34.18,28.320,2.441,24.902,59
26.367,31.738,30.273,18.066,9.277,59
33.203,27.832,32.227,26.367,39.551,59
21.484,27.344,34.668,11.23,5.859,59
20.996,28.32,33.691,6.836,26.367,59
37.109,24.414,30.762,15.625,35.156,59
48.34,26.855,37.598,41.992,45.898,59
36.133,32.227,40.039,37.109,32.715,59
18.555,23.438,33.203,9.766,5.859,59
25.391,21.484,28.320,16.113,26.367,59
38.574,24.902,28.320,38.086,20.996,59
33.203,27.344,32.715,36.621,-22.949,59
23.438,30.762,32.227,20.508,-47.363,59
24.902,31.738,29.785,19.043,12.695,59
36.133,31.25,28.320,35.645,11.719,59
39.062,29.785,29.297,41.504,2.93,59
27.344,29.297,29.297,20.996,76.66,59
26.367,30.762,28.320,12.207,53.711,59
40.039,32.227,31.250,24.902,33.203,52
47.363,34.18,33.203,36.621,34.18,52
25.879,35.156,29.785,8.789,26.367,52
17.09,34.668,28.809,-8.301,21.484,52
31.25,33.203,29.297,12.695,10.742,52
42.48,33.691,34.180,32.227,-21.484,52
33.691,31.738,35.156,22.461,-25.391,52
9.766,24.414,26.855,-0.488,10.254,52
15.625,26.367,23.438,4.395,21.973,52
40.039,33.203,25.879,33.203,38.086,52
33.203,34.668,27.344,32.715,92.773,52
19.043,33.203,26.367,8.301,127.93,52
22.949,35.156,28.320,7.812,24.902,52
36.621,33.203,31.250,28.809,-31.25,52
42.48,34.668,31.250,33.691,0.977,52
28.32,36.133,27.832,9.766,30.762,52
21.484,33.691,27.344,5.371,38.574,52
31.25,35.156,29.297,21.973,6.348,52
44.434,33.691,26.855,37.109,38.574,52
42.969,36.621,30.273,30.273,76.66,52
33.691,36.133,34.180,16.602,18.066,52
29.785,29.297,25.391,18.555,28.32,52
37.598,27.832,25.879,37.598,41.504,52
35.645,29.785,31.738,32.227,19.531,52
23.926,30.762,32.715,15.137,56.641,52
26.367,28.809,31.738,20.508,9.766,52
36.621,31.25,29.297,39.062,3.906,52
31.25,33.203,29.297,34.668,17.578,52
20.508,33.691,29.297,13.672,14.648,52
23.438,34.668,29.785,9.277,-7.324,52
37.109,30.273,31.738,33.203,-1.953,52
36.621,29.297,29.785,43.945,33.203,52
20.508,29.297,29.297,15.625,41.992,52
23.438,29.297,32.227,4.883,45.41,52
33.691,33.203,36.133,21.484,30.273,52
38.086,32.715,38.086,46.387,-0.488,52
21.484,27.832,31.250,25.879,29.785,52
7.812,27.344,29.297,-3.418,81.055,52
21.973,26.855,30.273,8.789,65.43,52
33.691,27.832,30.762,29.297,106.934,52
29.785,28.809,33.203,27.344,124.023,52
19.043,31.25,31.738,11.23,74.707,52
24.902,31.25,32.227,12.207,6.836,52
35.645,30.762,33.691,32.227,-23.438,52
31.25,32.227,33.691,36.621,-34.668,52
